;;;;;;;;;;;
Proposal number;Erasmus Code;Pic;OID;Legal Name;Street;Post Cd;City;Country Cd;Website Url;Erasmus Eche Start;Erasmus Eche End
101048813;A  KREMS07;912885237;E10061613;DANUBE PRIVATE UNIVERSITY GMBH;STEINER LANDSTRASSE 124;3500;KREMS-STEIN;AT;www.dp-uni.ac.at;11/1/2021;12/31/2029
101012420;A  KUFSTEI01;998159392;E10200255;FACHHOCHSCHULE KUFSTEIN TIROL BILDUNGS GMBH;ANDREAS HOFER STRASSE 7;6330;KUFSTEIN;AT;www.fh-kufstein.ac.at;1/1/2021;12/31/2029
101011426;A  LEOBEN01;999898117;E10209119;MONTANUNIVERSITAET LEOBEN;FRANZ JOSEF STRASSE 18;8700;LEOBEN;AT;www.unileoben.ac.at;1/1/2021;12/31/2029
101011484;A  LINZ01;999892976;E10209080;UNIVERSITAT LINZ;ALTENBERGER STRASSE 69;4040;LINZ;AT;http://www.jku.at;1/1/2021;12/31/2029
101008437;A  LINZ02;998777282;E10205663;UNIVERSITAT FUR KUNSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ;HAUPTPLATZ 6;4020;LINZ;AT;www.ufg.at;1/1/2021;12/31/2029
101013540;A  LINZ03;949233853;E10080085;PADAGOGISCHE HOCHSCHULE OBEROSTERREICH;KAPLANHOFSTRASSE 40;4020;LINZ;AT;www.ph-ooe.at;1/1/2021;12/31/2029
101011718;A  LINZ04;948400041;E10026665;PRIVATE PADAGOGISCHE HOCHSCHULE DER DIOZESE LINZ;SALESIANUMWEG 3;4020;LINZ;AT;www.ph-linz.at;1/1/2021;12/31/2029
101007519;A  LINZ11;998777088;E10205657;KATHOLISCHE PRIVAT - UNIVERSITAT LINZ;BETHLEHEMSTRASSE  20;4020;Linz;AT;www.ku-linz.at;1/1/2021;12/31/2029
101012057;A  LINZ17;998751577;E10205492;ANTON BRUCKNER PRIVATUNIVERSITAT;Alice-Harnoncourt-Platz 1;4040;LINZ;AT;www.bruckneruni.at;1/1/2021;12/31/2029
101011564;A  LINZ23;949504774;E10097390;FH Gesundheitsberufe OÖ GmbH;Semmelweisstrasse 34/D3;4020;Linz;AT;www.fh-gesundheitsberufe.at;1/1/2021;12/31/2029
101012581;A  SALZBUR01;999868047;E10208866;PARIS-LODRON-UNIVERSITAT SALZBURG;KAPITELGASSE 4-6;5020;SALZBURG;AT;https://www.plus.ac.at/;1/1/2021;12/31/2029
101008448;A  SALZBUR02;949452879;E10093810;UNIVERSITAT MOZARTEUM SALZBURG;MIRABELLPLATZ 1;5020;SALZBURG;AT;www.uni-mozarteum.at;1/1/2021;12/31/2029
101005437;A  SALZBUR03;894813167;E10062661;Pädagogische Hochschule Salzburg Stefan Zweig;Akademiestrasse 23;5020;Salzburg;AT;www.phsalzburg.at;1/1/2021;12/31/2029
101011631;A  SALZBUR08;994934045;E10186156;FACHHOCHSCHULE SALZBURG GMBH;URSTEIN SUED 1;5412;PUCH BEI HALLEIN;AT;www.fh-salzburg.ac.at;1/1/2021;12/31/2029
101014910;A  SALZBUR18;950035073;E10113741;PRIVATUNIVERSITAT SCHLOSS SEEBURG GMBH;SEEBURGSTRASSE 8;5201;SEEKIRCHEN AM WALLERSEE;AT;www.uni-seeburg.at;1/1/2021;12/31/2029
101011776;A  SALZBUR19;998417703;E10203046;PARACELSUS MEDIZINISCHE PRIVATUNIVERSITAT SALZBURG - PRIVATSTIFTUNG;STRUBERGASSE 21;5020;SALZBURG;AT;www.pmu.ac.at;1/1/2021;12/31/2029
101009938;A  SPITTAL01;887306531;E10200778;FH KAERNTEN - GEMEINNUETZIGE GmbH;EUROPASTRASSE 4;9524;VILLACH;AT;www.fh-kaernten.at;1/1/2021;12/31/2029
101014638;A  ST-POLT03;954490477;E10146606;FACHHOCHSCHULE ST. POLTEN GMBH;CAMPUS-PLATZ 1;3100;ST POLTEN;AT;www.fhstp.ac.at;1/1/2021;12/31/2029
101014642;A  ST-POLT10;946897705;E10137975;NEW DESIGN UNIVERSITY PRIVATUNIVERSITAT GESMBH;MARIAZELLER STRASSE 97A;3100;ST POLTEN;AT;www.ndu.ac.at;1/1/2021;12/31/2029
101098010;A  ST-POLT11;887760491;#N/A;Bertha von Suttner Privatuniversität St. Pölten GmbH;Campus-Platz 1;3100;St. Pölten;AT;https://www.suttneruni.at/;10/26/2022;12/31/2029
101011393;A  WELS01;962532262;E10155097;FH OO STUDIENBETRIEBS GMBH;ROSEGGERSTRASSE 15;4600;WELS;AT;www.fh-ooe.at;1/1/2021;12/31/2029
101011823;A  WIEN01;999866883;E10208854;UNIVERSITAT WIEN;UNIVERSITATSRING 1;1010;WIEN;AT;www.univie.ac.at;1/1/2021;12/31/2029
101012483;A  WIEN02;999979888;E10209415;TECHNISCHE UNIVERSITAET WIEN;KARLSPLATZ 13;1040;WIEN;AT;www.tuwien.ac.at;1/1/2021;12/31/2029
101007202;A  WIEN03;999987357;E10209455;UNIVERSITAET FUER BODENKULTUR WIEN;GREGOR MENDEL STRASSE 33;1180;WIEN;AT;www.boku.ac.at;1/1/2021;12/31/2029
101011726;A  WIEN04;999851848;E10208722;VETERINAERMEDIZINISCHE UNIVERSITAET WIEN;Veterinaerplatz  1;1210;VIENNA;AT;www.vetmeduni.ac.at;1/1/2021;12/31/2029
101014112;A  WIEN05;999616138;E10208161;WIRTSCHAFTSUNIVERSITAT WIEN;WELTHANDELSPLATZ 1;1020;WIEN;AT;www.wu.ac.at;1/1/2021;12/31/2029
101011403;A  WIEN06;989289809;E10179725;AKADEMIE DER BILDENDEN KUNSTE WIEN;SCHILLERPLATZ 3;1010;VIENNA;AT;http://www.akbild.ac.at;1/1/2021;12/31/2029
101012100;A  WIEN07;999542321;E10207671;UNIVERSITAT FUR ANGEWANDTE KUNST WIEN;OSKAR KOKOSCHKA PLATZ 2;1010;WIEN;AT;www.dieangewandte.at;1/1/2021;12/31/2029
101008591;A  WIEN08;958500457;E10151881;UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST WIEN;ANTON VON WEBERN PLATZ 1;1030;WIEN;AT;www.mdw.ac.at ;1/1/2021;12/31/2029
101009439;A  WIEN09;949574226;E10102265;PAEDAGOGISCHE HOCHSCHULE WIEN;GRENZACKERSTRASSE 18;1100;WIEN;AT;www.phwien.ac.at;1/1/2021;12/31/2029
101005417;A  WIEN10;988002037;E10178676;KIRCHLICHE PAEDAGOGISCHE HOCHSCHULE WIEN / KREMS;STEPHANSPLATZ 3 IV;1010;WIEN;AT;www.kphvie.ac.at;1/1/2021;12/31/2029
101012718;A  WIEN15;943354392;E10103635;HOCHSCHULE FUR AGRAR- UND UMWELTPADAGOGIK;Angermayergasse 1;1130;Wien;AT;www.agrarumweltpaedagogik.ac.at;1/1/2021;12/31/2029
101011302;A  WIEN20;998521105;E10204184;FACHHOCHSCHULE TECHNIKUM WIEN;HOCHSTADTPLATZ 6;1200;WIEN;AT;www.technikum-wien.at;1/1/2021;12/31/2029
101011039;A  WIEN21;890988942;E10078269;FHW FACHHOCHSCHUL-STUDIENGANGE BETRIEBS UND FORSCHUNGSEINRICHTUNGEN DER WIENER WIRTSCHAFT GMBH;WAHRINGER GURTEL 97;1180;WIEN;AT;www.fh-wien.ac.at;1/1/2021;12/31/2029
101012637;A  WIEN38;949290986;E10083917;FACHHOCHSCHULE DES BFI WIEN GMBH;WOHLMUTSTRASSE 22;1020;WIEN;AT;www.fh-vie.ac.at;1/1/2021;12/31/2029
101011587;A  WIEN52;949636015;E10106327;Musik und Kunst Privatuniversität der Stadt Wien GmbH;Johannesgasse 4a;1010;Vienna;AT;www.muk.ac.at;1/1/2021;12/31/2029
101011662;A  WIEN63;969810463;E10163238;FH-CAMPUS WIEN - VEREIN ZUR FORDERUNG DES FACHHOCHSCHUL-, ENTWICKLUNGS- UND FORSCHUNGSZENTRUMS IM SUDEN WIENS;FAVORITENSTRASSE 226;1100;WIEN;AT;http://www.fh-campuswien.ac.at;1/1/2021;12/31/2029
101011782;A  WIEN64;999989976;E10209471;MEDIZINISCHE UNIVERSITAET WIEN;SPITALGASSE 23;1090;WIEN;AT;www.meduniwien.ac.at;1/1/2021;12/31/2029
101015310;A  WIEN65;949594402;E10103518;DIPLOMATISCHE AKADEMIE WIEN;FAVORITENSTRASSE 15 A;1040;WIEN;AT;www.da-vienna.ac.at;1/1/2021;12/31/2029
101007591;A  WIEN66;995944009;E10187241;MODUL UNIVERSITY VIENNA GMBH;AM KAHLENBERG 1;1190 ;WIEN;AT;www.modul.ac.at/nmt  ;1/1/2021;12/31/2029
101013962;A  WIEN68;996709824;E10190418;SIGMUND FREUD PRIVATUNIVERSITAT WIEN GMBH;FREUDPLATZ 1;1020;WIEN;AT;http://www.sfu.ac.at;1/1/2021;12/31/2029
101007437;A  WIEN70;947084139;E10150824;Lauder Business School;Hofzeile 18-20;1190;Vienna;AT;www.lbs.ac.at;1/1/2021;12/31/2029
101015124;A  WIEN72;939833195;E10115036;Wiener Psychoanalytische Akademie;Salzgries 16/3;1010;Wien;AT;www.psy-akademie.at;1/1/2021;12/31/2029
101013264;A  WIEN74;933017781;E10107447;VMI - Vienna Music Institute - Konservatorium des Herrn Mag. Ernst Ritsch;Nobilegasse 23-25;1150;Wien;AT;www.vmi.at;1/1/2021;12/31/2029
101014523;A  WIEN75;988368018;E10179040;BILDUNGSVEREIN FUR DIE FREUNDE DERWEBSTER UNIVERSITY (ST. LOUIS, USA);PRATERSTRASSE 23;1020;WIEN;AT;www.webster.ac.at;1/1/2021;12/31/2029
101012927;A  WIEN76;883854204;E10047841;JAM MUSIC LAB Private University for Jazz and Popular Music;Guglgasse 8;1110;Wien;AT;www.jammusiclab.com;1/1/2021;12/31/2029
101012921;A  WIEN77;884652320;E10042193;Friedrich Gulda School of Music Wien;Gasometer B, Guglgasse 8;1110;Vienna;AT;https://gulda-school-of-music.com/;1/1/2021;12/31/2029
101012115;A  WIEN78;901064817;E10269139;CEU GMBH;QUELLENSTRASSE 51;1100;WIEN;AT;;1/1/2021;12/31/2029
101013413;A  WIENER01;998036590;E10198846;FACHHOCHSCHULE WIENER NEUSTADT GMBH;JOHANNES GUTENBERGSTRASSE 3;2700;WIENER NEUSTADT;AT;www.fhwn.ac.at;1/1/2021;12/31/2029
101008664;A  WIENER04;949512146;E10097899;Theresianische Militärakademie Fachhochschul-Bachelorstudiengang Militärische Führung;Burgplatz 1;2700;Wiener Neustadt;AT;www.milak.at;1/1/2021;12/31/2029
101123918;AL DURRES01;951374158;#N/A;UNIVERSITETI ALEKSANDER MOISIU DURRES;L 1 RRUGA E CURRILAVE;2000;DURRES;AL;www.uamd.edu.al;6/30/2023;12/31/2029
101173417;AL GIJROKA01;949104067;#N/A;"UNIVERSITETI ""EQREM ÇABEJ"" I GJIROKASTRËS";"""Studenti"" Street";6001;Gjirokaster;AL;www.uogj.edu.al;26/06/2024;31/12/2029
101173527;AL KORCE01;973496366;#N/A;UNIVERSITETI FAN S NOLI KORCE;SHETITORJA RILINDASIT;7001;KORCE;AL;www.unkorce.edu.al;26/06/2024;31/12/2029
101123401;AL TIRANA01;890250966;#N/A;MESDHEU EDUCATION SHPK;NJESIA BASHKIAKE 7, BULEVARDI GJERGJ FISHTA 52;1023;TIRANA;AL;www.umsh.edu.al;30/06/2023;31/12/2029
101123448;AL TIRANA02;999847774;#N/A;UNIVERSITETI POLITEKNIK I TIRANES;SHESHI NENE TEREZA  4;;TIRANA;AL;www.upt.al;30/06/2023;31/12/2029
101123927;AL TIRANA03;954870232;#N/A;UNIVERSITETI POLIS SHPK;AUTOSTRADA TIRANE DURRES KILOMETRI 5 KASHAR;1051;TIRANA;AL;www.universitetipolis.edu.al;30/06/2023;31/12/2029
101124102;AL TIRANA04;925634044;#N/A;UNIVERSITETI METROPOLITAN TIRANA;ST SOTIR KOLEA PALLATI I RI I FIRMES FERARI;1000;TIRANA;AL;www.umt.edu.al;30/06/2023;31/12/2029
101173084;AL TIRANA05;935875110;#N/A;EUROPEAN EDUCATION INITIATIVE;NJESIA BASHKIAKE 4 RR XHANFIZE KEKO 56;1023;TIRANA;AL;www.uet.edu.al;26/06/2024;31/12/2029
101174526;AL TIRANA06;929488824;#N/A;UNIVERSITY OF NEW YORK TIRANA;"RRUGA E KAVAJES, PRANE 21 DHJETORIT
(Sheshi Ataturk)";1000;TIRANA;AL;https://www.unyt.edu.al/;26/06/2024;31/12/2029
101174681;AL TIRANA07;986013828;#N/A;TURGUT OZAL EDUCATION SHA;S GABRANI TEK ISH QYT STUDENTI;1000;TIRANA;AL;www.epoka.edu.al;26/06/2024;31/12/2029
101174910;AL TIRANA08;998022137;#N/A;UNIVERSITETI I TIRANES;RR DESH E KOMBIT;1000;TIRANA;AL;www.unitir.edu.al;26/06/2024;31/12/2029
101175107;AL TIRANA09;971436474;#N/A;FONDACIONI ZOJA E KESHILLIT TE MIRE ;RRUGA DRITAN HOXHA;not applicable  ;TIRANA;AL;www.unizkm.al;26/06/2024;31/12/2029
101123046;AL VLORE01;934361522;#N/A;UNIVERSITETIT TE VLORES;L PAVARESIA SKELE;;VLORE;AL;http://www.univlora.edu.al;30/06/2023;31/12/2029
101015017;B  ANTWERP01;999902870;E10209156;UNIVERSITEIT ANTWERPEN;PRINSSTRAAT 13;2000;ANTWERPEN;BE;www.uantwerpen.be;1/1/2021;12/31/2029
101014765;B  ANTWERP59;985073801;E10172300;KAREL DE GROTE HOGESCHOOL KATHOLIEKE HOGESCHOOL ANTWERPEN;BRUSSELSTRAAT 45;2018;ANTWERPEN;BE;www.kdg.be ;1/1/2021;12/31/2029
101007412;B  ANTWERP61;949634657;E10106205;HOGERE ZEEVAARTSCHOOL;NOORDKASTEEL OOST 6;2030;ANTWERPEN;BE;www.amacademy.be;1/1/2021;12/31/2029
101014497;B  ANTWERP62;949316982;E10085624;ARTESIS  PLANTIJN HOGESCHOOL ANTWERPEN;LANGE NIEUWSTRAAT 101;2000;ANTWERPEN;BE;www.ap.be;1/1/2021;12/31/2029
